product_id,product_price,product_quantity,customer_id,order_id,order_timestamp
PXAH,44.5,9,CLJC,OQYN,2023-03-16 10:42:22
PTYU,57.43,5,CUPH,OSFD,2023-07-27 21:00:50
PFTP,41.08,6,CGMC,ORXD,2023-06-21 00:47:26
PBIZ,44.75,2,CCEE,OPGH,2023-11-24 22:55:08
PERQ,99.24,10,CAHF,OJQA,2023-05-05 06:38:09
PKZE,45.86,10,CIZS,OUOO,2023-06-05 08:53:02
PSHR,24.93,10,CTRZ,ONYI,2023-11-17 12:43:36
PWKJ,86.74,4,CXIW,OICY,2023-04-15 11:28:33
PSQB,38.21,1,CRPN,OTSW,2023-07-31 07:39:29
PXUP,82.66,9,CCUV,OSMK,2023-10-29 23:18:13
PXBL,25.84,7,CZUB,OZVQ,2023-02-28 19:15:51
PDVB,20.8,7,CYBK,OERL,2023-07-15 17:00:47
PPGV,37.78,7,CVDH,OQDO,2023-04-16 15:43:23
PIXP,88.04,5,CUXC,OIIE,2023-07-13 11:55:27
POJS,44.83,4,CQOB,OWFG,2023-11-03 22:20:19
PUST,82.57,2,CJMF,OGJB,2023-06-06 05:52:13
PGVD,57.58,1,CSGP,OLTB,2023-01-06 02:56:46
PBXU,65.04,1,CVLO,OIFF,2023-11-24 08:00:52
PGDK,85.02,4,CKLT,ODGW,2023-03-02 08:40:59
PIUS,63.79,5,CEHK,ONLQ,2023-04-14 07:00:17
PBHD,73.0,7,CDVW,OELL,2023-07-25 21:18:49
PFTE,44.19,5,CHBM,OIHL,2023-09-09 12:43:48
PUSP,87.28,7,CPIG,OTHI,2023-05-23 10:19:19
PBFB,64.4,7,CVTP,OGMC,2023-09-09 06:29:26
PPUY,65.01,4,COOI,OUOM,2023-03-23 14:43:25
PXIG,48.8,9,CJWT,OTQH,2023-07-26 04:08:31
PSRB,61.77,6,CIAI,OEKK,2023-03-30 22:37:10
PGQT,93.48,9,CTWB,OYYG,2023-05-13 21:42:58
PTSR,78.49,9,COLR,OIYO,2023-12-08 16:03:57
PQCJ,50.64,3,CVAO,OXDW,2023-06-12 03:01:58
PUOC,79.05,8,CQWW,OKAU,2023-01-01 00:58:30
PTTG,38.71,10,CNOH,OEKF,2023-11-02 22:28:37
PWGT,29.79,3,CWUY,OWIT,2023-08-11 10:54:02
PLNF,26.04,4,CDLC,ORBW,2023-03-01 04:08:18
PDPE,37.16,5,CHCU,OYFF,2023-05-14 20:39:07
PDMW,69.99,9,CQGY,OKKD,2023-05-15 12:50:04
PZKX,77.83,4,CCBZ,OGXX,2023-08-24 17:19:56
PAAC,18.31,3,CWYK,ORQD,2023-05-06 03:42:21
PPKA,11.06,7,CEBE,ORYF,2023-09-11 01:02:15
POKJ,69.28,2,CLGK,OOGT,2023-07-04 17:51:05
PYFG,66.05,10,CLGT,OBDX,2023-05-21 21:51:00
PRRZ,88.21,2,CWIF,OYZB,2023-06-21 21:43:22
PHBX,70.6,3,CXRE,OPIF,2023-06-16 21:17:07
PLZE,78.45,8,CLGA,OWEW,2023-09-30 01:54:57
PIXP,73.95,7,CUOU,OUNJ,2023-06-14 08:34:18
PIXZ,44.55,6,CFOD,OFZC,2023-12-15 05:49:35
